step,loss,lr
0,2.8733158111572266,1e-06
1,2.8729029536247253,1.035410595827547e-06
2,2.876733513474464,1.0535833712070217e-06
3,2.8753948541581624,1.0720751019519558e-06
4,2.8762640312805763,1.090891386135458e-06
5,2.8760841119011484,1.110037920083953e-06
6,2.875845477614227,1.1295205001016533e-06
7,2.8749908997135876,1.1493450242252966e-06
8,2.8762212727309904,1.1695174940096817e-06
9,2.875300292884266,1.190044016344541e-06
10,2.873749493041841,1.2109308053033042e-06
11,2.8746981248808376,1.2321841840243084e-06
12,2.8744888429120032,1.2538105866250254e-06
13,2.8737940905552213,1.275816560149889e-06
14,2.8723037831145573,1.298208766552304e-06
15,2.8717627964963657,1.3209939847114479e-06
16,2.872288304609322,1.3441791124844662e-06
17,2.873323466519664,1.367771168794686e-06
18,2.873781324260575,1.3917772957564844e-06
19,2.8757001705879817,1.4162047608374464e-06
20,2.876014492960682,1.4410609590584736e-06
21,2.8778812139722856,1.466353415232509e-06
22,2.877712798815816,1.4920897862425505e-06
23,2.8785859674878482,1.5182778633596506e-06
24,2.8786946310732944,1.5449255746015965e-06
25,2.8789068783747624,1.572040987132991e-06
26,2.8791044601953124,1.5996323097074547e-06
27,2.88140334752185,1.6277078951526955e-06
28,2.8814815060658625,1.6562762428991908e-06
29,2.885823759192745,1.6853460015532545e-06
30,2.8833664607175127,1.7149259715152622e-06
31,2.8824790968109704,1.7450251076438297e-06
32,2.8825187982051625,1.7756525219667526e-06
33,2.8811444804949162,1.806817486439527e-06
34,2.8855135150341655,1.838529435752282e-06
35,2.8843551598200246,1.8707979701859815e-06
36,2.8851717865565014,1.903632858518754e-06
37,2.8869087902996604,1.937044040983233e-06
38,2.885956843483347,1.9710416322757995e-06
39,2.8866509475295774,2.0056359246186485e-06
40,2.8895881497945166,2.0408373908755868e-06
41,2.8910582609853632,2.076656687722528e-06
42,2.892099634854735,2.1131046588736276e-06
43,2.8920490773978864,2.150192338364043e-06
44,2.890357318603981,2.1879309538903085e-06
45,2.886566793848861,2.22633193020934e-06
46,2.8843289893202972,2.265406892597098e-06
47,2.884598430719608,2.305167670367946e-06
48,2.8842742322785675,2.345626300455793e-06
49,2.883319855228848,2.386795031058074e-06
50,2.882474339476225,2.428686325343697e-06
51,2.8815465615664397,2.4713128652260688e-06
52,2.883430446599995,2.5146875552023334e-06
53,2.8819289834740967,2.5588235262600065e-06
54,2.8821987628808663,2.6037341398521656e-06
55,2.88142769573902,2.6494329919424185e-06
56,2.8808044730309263,2.6959339171208568e-06
57,2.8836698265621497,2.7432509927922597e-06
58,2.8822442755264004,2.7913985434377987e-06
59,2.8821356199089547,2.8403911449515433e-06
60,2.881071081440515,2.890243629053078e-06
61,2.8808051140574844,2.9409710877775662e-06
62,2.8809127908840595,2.99258887804462e-06
63,2.8789020038445865,3.045112626307359e-06
64,2.8819089366952646,3.0985582332830707e-06
65,2.8829498342933317,3.1529418787668892e-06
66,2.881054346725241,3.2082800265299754e-06
67,2.880661197221926,3.26458942930365e-06
68,2.882077978383321,3.3218871338510205e-06
69,2.883279045437055,3.380190486127605e-06
70,2.881139443331523,3.4395171365325467e-06
71,2.8796548025934747,3.4998850452519885e-06
72,2.8790040074062753,3.5613124876962227e-06
73,2.8809668715157892,3.6238180600322823e-06
74,2.8808399270565155,3.6874206848136303e-06
75,2.880994643674423,3.752139616708652e-06
76,2.883940348635935,3.817994448329702e-06
77,2.8829372317893127,3.885005116164449e-06
78,2.882234097693133,3.953191906611324e-06
79,2.8824389230361374,4.022575462120901e-06
80,2.8858457683119427,4.093176787445068e-06
81,2.8862757270200636,4.165017255995873e-06
82,2.886678704165459,4.238118616315983e-06
83,2.8886605343380456,4.312502998662702e-06
84,2.887870612651203,4.388192921707551e-06
85,2.8872693417117885,4.46521129935343e-06
86,2.8860887245102322,4.54358144767144e-06
87,2.88632227360958,4.623327091959431e-06
88,2.88533496966726,4.704472373924473e-06
89,2.88273420438397,4.787041858991356e-06
90,2.8825783906377023,4.871060543739373e-06
91,2.883093218912366,4.956553863469647e-06
92,2.8826599715791135,5.043547699905241e-06
93,2.882641157379735,5.132068389026438e-06
94,2.88456632378443,5.22214272904354e-06
95,2.8846993485948116,5.313797988509584e-06
96,2.883913413471742,5.407061914575464e-06
97,2.8833571642611675,5.501962741389929e-06
98,2.883609989432051,5.598529198647019e-06
99,2.883362070908324,5.696790520283511e-06
100,2.882211128255394,5.796776453329029e-06
101,2.8827251031116976,5.89851726691147e-06
102,2.882068791231564,6.002043761420504e-06
103,2.8819282356192657,6.10738727783188e-06
104,2.8817656684046478,6.214579707195416e-06
105,2.8856718317388705,6.323653500289489e-06
106,2.8849157360129802,6.434641677444988e-06
107,2.8819231940891927,6.547577838541692e-06
108,2.8823937372274453,6.662496173180082e-06
109,2.8822358375898887,6.779431471031697e-06
110,2.8812162846134397,6.898419132371142e-06
111,2.8787021727677162,7.019495178792954e-06
112,2.8779991474499482,7.142696264116554e-06
113,2.8772165821405915,7.268059685482606e-06
114,2.877140729039116,7.395623394644118e-06
115,2.87601788638904,7.525426009455719e-06
116,2.8809598585857015,7.657506825564611e-06
117,2.877768906538527,7.791905828306664e-06
118,2.8774993667558815,7.928663704811358e-06
119,2.8770294305759854,8.06782185631914e-06
120,2.8740137091501827,8.209422410714978e-06
121,2.876448294288224,8.353508235281908e-06
122,2.87403592042922,8.500122949678413e-06
123,2.8766312335348037,8.649310939143561e-06
124,2.8795068370993047,8.801117367933932e-06
125,2.8809867483685765,8.955588192996357e-06
126,2.880734009861433,9.112770177880644e-06
127,2.878881125801314,9.272710906896504e-06
128,2.8797591186521783,9.4354587995189e-06
129,2.878430326194606,9.601063125046302e-06
130,2.8796854828203613,9.76957401751614e-06
131,2.8802804046556005,9.941042490882083e-06
132,2.881848321259063,1.0115520454457708e-05
133,2.882756541773716,1.029306072863118e-05
134,2.8867823432632167,1.0473717060855794e-05
135,2.883478759051411,1.0657544141921136e-05
136,2.884060124958551,1.0844597622509842e-05
137,2.886423271283255,1.1034934130044948e-05
138,2.885951885894446,1.1228611285832914e-05
139,2.883449831455681,1.1425687722507575e-05
140,2.8829361686182486,1.1626223101780172e-05
141,2.8780249997594796,1.1830278132501051e-05
142,2.8740474415210784,1.20379145890382e-05
143,2.8735597005256515,1.2249195329978514e-05
144,2.8756624219050084,1.2464184317157168e-05
145,2.8758715698489117,1.2682946635021059e-05
146,2.8773771637578944,1.2905548510332072e-05
147,2.8738924074376753,1.3132057332216136e-05
148,2.8730101225569715,1.3362541672564242e-05
149,2.8706066981857146,1.3597071306791423e-05
150,2.872900914858765,1.3835717234960167e-05
151,2.874813415731427,1.4078551703274551e-05
152,2.8756942244561166,1.4325648225951568e-05
153,2.8762539622765844,1.4577081607476429e-05
154,2.880556267271733,1.4832927965248362e-05
155,2.879826126179875,1.5093264752623946e-05
156,2.8788784809884347,1.535817078236489e-05
157,2.8751748685616323,1.5627726250497276e-05
158,2.8740788768082024,1.5902012760589654e-05
159,2.8731708652607306,1.618111334845718e-05
160,2.86967509989839,1.646511250729939e-05
161,2.869134929822446,1.675409621327913e-05
162,2.870272518887354,1.7048151951550457e-05
163,2.868648977686486,1.7347368742743393e-05
164,2.8662504047443913,1.7651837169913417e-05
165,2.868350031552307,1.7961649405964103e-05
166,2.8702416205890104,1.8276899241550898e-05
167,2.8720936810237934,1.8597682113474795e-05
168,2.8695210609336326,1.892409513357426e-05
169,2.8700909211064025,1.9256237118124252e-05
170,2.8673753593497886,1.9594208617751308e-05
171,2.8696580272343497,1.9938111947873546e-05
172,2.8699779713506897,2.0288051219675128e-05
173,2.8720795585848515,2.0644132371624096e-05
174,2.873757348500763,2.1006463201543614e-05
175,2.8734298455128275,2.1375153399246055e-05
176,2.8697593879738195,2.175031457973972e-05
177,2.8703239955938664,2.2132060317018572e-05
178,2.8681950080906313,2.2520506178444894e-05
179,2.868870343078098,2.2915769759735408e-05
180,2.869315645141875,2.3317970720561578e-05
181,2.8677591403238987,2.3727230820774524e-05
182,2.8651464227753247,2.414367395726596e-05
183,2.866788159978538,2.456742620147589e-05
184,2.8678538547094083,2.4998615837558774e-05
185,2.8666216610698543,2.5437373401219447e-05
186,2.8687591229763836,2.5883831719230688e-05
187,2.8680792024873543,2.633812594964443e-05
188,2.870896593986522,2.6800393622708603e-05
189,2.8686435137645825,2.7270774682502312e-05
190,2.863153521094084,2.7749411529301516e-05
191,2.8658429629402282,2.8236449062688502e-05
192,2.867498295948612,2.873203472541789e-05
193,2.8686331019534883,2.923631854805248e-05
194,2.866152472341806,2.9749453194382706e-05
195,2.8682240224803612,3.0271594007642985e-05
196,2.8644683279672134,3.080289905753952e-05
197,2.864755980389806,3.134352918810324e-05
198,2.8641777263150785,3.189364806638278e-05
199,2.863296339388973,3.245342223199208e-05
200,2.8612076222921137,3.302302114752749e-05
201,2.8598064771317926,3.3602617249869884e-05
202,2.8627564332358353,3.419238600238714e-05
203,2.863899450540413,3.479250594805277e-05
204,2.867319983231898,3.540315876349712e-05
205,2.8655788996701257,3.602452931400679e-05
206,2.8656814787726175,3.66568057094898e-05
207,2.861572056933596,3.7300179361422706e-05
208,2.8628836914183067,3.7954845040797465e-05
209,2.8580186230011084,3.862100093708507e-05
210,2.863524066305551,3.929884871823432e-05
211,2.859012919218911,3.99885935917235e-05
212,2.8538896934926457,4.0690444366683625e-05
213,2.855129160672719,4.1404613517112065e-05
214,2.8547932925629413,4.213131724619556e-05
215,2.8524664592412514,4.2870775551762305e-05
216,2.85348211666783,4.362321229288276e-05
217,2.8519528229415245,4.438885525763925e-05
218,2.854518133740707,4.51679362320853e-05
