epoch,step,loss
0,0,0.96794193983078
0,1,0.9784111380577087
0,2,0.979420006275177
0,3,0.9732443690299988
0,4,0.9557189345359802
0,5,0.9565919637680054
0,6,0.9375156164169312
0,7,0.9387428760528564
0,8,0.9559333324432373
0,9,0.9548636078834534
0,10,0.953669548034668
0,11,0.9620398879051208
0,12,0.9412474632263184
0,13,0.9567068815231323
0,14,0.9398849010467529
0,15,0.9315080046653748
0,16,0.9306485652923584
0,17,0.9561999440193176
0,18,0.9324110746383667
0,19,0.916596531867981
0,20,0.9070813655853271
0,21,0.9033749103546143
0,22,0.9115330576896667
0,23,0.8988337516784668
0,24,0.8693920969963074
1,25,0.8001965284347534
1,26,0.8426399827003479
1,27,0.8540619611740112
1,28,0.779998242855072
1,29,0.7246395349502563
1,30,0.6175024509429932
1,31,0.5223091840744019
1,32,0.6239347457885742
1,33,0.6145989894866943
1,34,0.710411548614502
1,35,0.7872281074523926
1,36,0.6090149879455566
1,37,0.49097925424575806
1,38,0.5926564931869507
1,39,0.7290762662887573
1,40,0.9864960312843323
1,41,0.7574841976165771
1,42,0.8223797082901001
1,43,0.9923880100250244
1,44,0.7410871982574463
1,45,0.7313250303268433
1,46,0.7570292353630066
1,47,0.7935229539871216
1,48,0.7895054817199707
1,49,0.7099462747573853
2,50,0.6787698268890381
2,51,0.5606954097747803
2,52,0.6503307223320007
2,53,0.5302520990371704
2,54,0.561180055141449
2,55,0.4902976155281067
2,56,0.43749457597732544
2,57,0.6953629851341248
2,58,0.4971349835395813
2,59,0.49454379081726074
2,60,0.9996724128723145
2,61,0.49618422985076904
2,62,0.40159761905670166
2,63,0.47135043144226074
2,64,0.46970486640930176
2,65,0.48560792207717896
2,66,0.6288701295852661
2,67,0.5960904359817505
2,68,0.3911365270614624
2,69,0.44226568937301636
2,70,0.5790596604347229
2,71,0.5672416687011719
2,72,0.44510382413864136
2,73,0.5078035593032837
2,74,0.5173795819282532
3,75,0.5422289371490479
3,76,0.39105165004730225
3,77,0.523888111114502
3,78,0.40463417768478394
3,79,0.5451247096061707
3,80,0.4192730784416199
3,81,0.34662652015686035
3,82,0.3203882575035095
3,83,0.5172010660171509
3,84,0.49864697456359863
3,85,0.384490966796875
3,86,0.4445391297340393
3,87,0.31034982204437256
3,88,0.4105781316757202
3,89,0.5077977180480957
3,90,0.41152942180633545
3,91,0.570409893989563
3,92,0.49372392892837524
3,93,0.3461780548095703
3,94,0.3904692530632019
3,95,0.5251345634460449
3,96,0.4975550174713135
3,97,0.40105152130126953
3,98,0.4550701379776001
3,99,0.4865400791168213
4,100,0.5050883293151855
4,101,0.31489503383636475
4,102,0.48563075065612793
4,103,0.3613687753677368
4,104,0.5178623199462891
4,105,0.39180541038513184
4,106,0.33886581659317017
4,107,0.30942851305007935
4,108,0.44532066583633423
4,109,0.40302473306655884
4,110,0.894850492477417
4,111,0.47931331396102905
4,112,0.2677016258239746
4,113,0.528302013874054
4,114,0.4599195122718811
4,115,0.44340670108795166
4,116,0.559126079082489
4,117,0.5425088405609131
4,118,0.3741016387939453
4,119,0.38874703645706177
4,120,0.4927605390548706
4,121,0.4892386198043823
4,122,0.38382643461227417
4,123,0.4094606041908264
4,124,0.4908146262168884
5,125,0.4645227789878845
5,126,0.30604737997055054
5,127,0.5180777311325073
5,128,0.40412580966949463
5,129,0.485845685005188
5,130,0.3658847212791443
5,131,0.3242257237434387
5,132,0.3348659873008728
5,133,0.46219539642333984
5,134,0.41698789596557617
5,135,0.35690611600875854
5,136,0.37430477142333984
5,137,0.26572877168655396
5,138,0.5086194276809692
5,139,0.47525346279144287
5,140,0.35119718313217163
5,141,0.5127782821655273
5,142,0.46013402938842773
5,143,0.3411681056022644
5,144,0.4138023257255554
5,145,0.5000531673431396
5,146,0.4487900137901306
5,147,0.33155667781829834
5,148,0.4129786491394043
5,149,0.5044777989387512
6,150,0.4450572729110718
6,151,0.28917449712753296
6,152,0.5116351842880249
6,153,0.3676002025604248
6,154,0.540019154548645
6,155,0.3947824239730835
6,156,0.3390365242958069
6,157,0.2988623380661011
6,158,0.4949880838394165
6,159,0.4277064800262451
6,160,0.3576804995536804
6,161,0.38783782720565796
6,162,0.27411705255508423
6,163,0.4656691551208496
6,164,0.4167693257331848
6,165,0.36650729179382324
6,166,0.5120538473129272
6,167,0.4548223614692688
6,168,0.3389925956726074
6,169,0.37619227170944214
6,170,0.46865981817245483
6,171,0.45341336727142334
6,172,0.3227647542953491
6,173,0.4314420819282532
6,174,0.4655326008796692
